"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\assets\filters\chromatic-aberration.html", "HTML", 40, 0, 0, 0, 3, 43
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\cool-stuff\index.html", "HTML", 13, 0, 0, 0, 5, 18
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\cool-stuff\style.css", "CSS", 0, 22, 0, 0, 3, 25
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\index.html", "HTML", 285, 0, 0, 21, 59, 365
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\autonav.js", "JavaScript", 0, 0, 57, 5, 20, 82
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\games-track.js", "JavaScript", 0, 0, 33, 13, 15, 61
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\splash-text.js", "JavaScript", 0, 0, 178, 2, 21, 201
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\text-effects.js", "JavaScript", 0, 0, 197, 19, 37, 253
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\style.css", "CSS", 0, 471, 0, 29, 65, 565
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\about\index.html", "HTML", 65, 0, 0, 2, 16, 83
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\about\index0.html", "HTML", 24, 0, 0, 0, 1, 25
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\animatedJumbotron.js", "JavaScript", 0, 0, 8, 1, 2, 11
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\awards.css", "CSS", 0, 109, 0, 14, 4, 127
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\awards.js", "JavaScript", 0, 0, 6, 0, 5, 11
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\index.html", "HTML", 115, 0, 0, 3, 20, 138
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\index0.html", "HTML", 52, 0, 0, 0, 8, 60
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\new-awards.css", "CSS", 0, 301, 0, 22, 20, 343
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\script.js", "JavaScript", 0, 0, 6, 0, 5, 11
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\binary-translator\index.html", "HTML", 25, 0, 0, 0, 0, 25
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\binary-translator\style.css", "CSS", 0, 44, 0, 0, 1, 45
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\primeNumbers\index.html", "HTML", 15, 0, 0, 0, 1, 16
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\clicker-clicker\index.html", "HTML", 13, 0, 0, 0, 0, 13
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\code-like-me\index.html", "HTML", 34, 0, 0, 2, 7, 43
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\index.html", "HTML", 50, 0, 0, 3, 12, 65
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\old.html", "HTML", 20, 0, 0, 1, 0, 21
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\index.html", "HTML", 14, 0, 0, 0, 4, 18
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\main.js", "JavaScript", 0, 0, 60, 1, 18, 79
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\style.css", "CSS", 0, 5, 0, 0, 0, 5
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\sortingAlgorithms\index.html", "HTML", 13, 0, 0, 0, 0, 13
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\files\resume\resume.html", "HTML", 38, 0, 0, 0, 8, 46
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\Asteroids\index.html", "HTML", 25, 0, 0, 0, 0, 25
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\badGames.html", "HTML", 21, 0, 0, 0, 1, 22
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\index.html", "HTML", 15, 0, 0, 0, 1, 16
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\script.js", "JavaScript", 0, 0, 92, 0, 4, 96
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\style.css", "CSS", 0, 36, 0, 0, 0, 36
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\index.html", "HTML", 66, 0, 0, 3, 28, 97
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\game.html", "HTML", 16, 0, 0, 0, 0, 16
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\index.html", "HTML", 21, 0, 0, 0, 0, 21
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\script.js", "JavaScript", 0, 0, 90, 2, 35, 127
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\style.css", "CSS", 0, 34, 0, 0, 4, 38
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\biplane\index.html", "HTML", 12, 0, 0, 0, 1, 13
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\not_mine\getting_over_it\index.html", "HTML", 13, 0, 0, 0, 1, 14
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\style.css", "CSS", 0, 3, 0, 0, 1, 4
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\index.html", "HTML", 18, 0, 0, 0, 1, 19
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\script.js", "JavaScript", 0, 0, 28, 0, 1, 29
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\style.css", "CSS", 0, 58, 0, 9, 7, 74
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\game.html", "HTML", 21, 0, 0, 0, 1, 22
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\script.js", "JavaScript", 0, 0, 250, 14, 60, 324
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\style.css", "CSS", 0, 87, 0, 0, 5, 92
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\index.html", "HTML", 18, 0, 0, 0, 2, 20
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\script.js", "JavaScript", 0, 0, 21, 3, 4, 28
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\style.css", "CSS", 0, 38, 0, 0, 0, 38
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\hamburger-menu.js", "JavaScript", 0, 0, 22, 0, 12, 34
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\index.html", "HTML", 105, 0, 0, 27, 26, 158
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\index0.html", "HTML", 30, 0, 0, 1, 2, 33
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\02-15-2023\index.html", "HTML", 28, 0, 0, 0, 3, 31
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\03-12-2023\index.html", "HTML", 28, 0, 0, 0, 3, 31
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\04-19-2023\index.html", "HTML", 25, 0, 0, 0, 3, 28
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\index.html", "HTML", 26, 0, 0, 0, 3, 29
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\resume.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\draggable-element.js", "JavaScript", 0, 0, 49, 5, 17, 71
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\pop-window.js", "JavaScript", 0, 0, 21, 0, 8, 29
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\utils.js", "JavaScript", 0, 0, 8, 1, 9, 18
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\index.html", "HTML", 24, 0, 0, 1, 3, 28
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\main.js", "JavaScript", 0, 0, 256, 16, 41, 313
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\style.css", "CSS", 0, 140, 0, 21, 14, 175
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\splash-text.js", "JavaScript", 0, 0, 123, 0, 12, 135
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\index.html", "HTML", 45, 0, 0, 2, 12, 59
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\old.html", "HTML", 29, 0, 0, 0, 0, 29
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\script.js", "JavaScript", 0, 0, 8, 0, 2, 10
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style.css", "CSS", 0, 308, 0, 0, 27, 335
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style1.css", "CSS", 0, 374, 0, 10, 51, 435
"c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style2.css", "CSS", 0, 494, 0, 18, 67, 579
"Total", "-", 1402, 2524, 1513, 271, 833, 6543
