Date : 2024-04-03 13:57:45
Directory : c:\Users\kaden.emrich\Documents\GitHub\kadensite
Total : 73 files,  5439 codes, 271 comments, 833 blanks, all 6543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         17 |      2,524 |        123 |        270 |      2,917 |
| JavaScript |         20 |      1,513 |         82 |        328 |      1,923 |
| HTML       |         36 |      1,402 |         66 |        235 |      1,703 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         73 |      5,439 |        271 |        833 |      6,543 |
| . (Files)                                                                                           |          2 |        756 |         50 |        124 |        930 |
| assets                                                                                              |          1 |         40 |          0 |          3 |         43 |
| assets\filters                                                                                      |          1 |         40 |          0 |          3 |         43 |
| cool-stuff                                                                                          |          2 |         35 |          0 |          8 |         43 |
| scripts                                                                                             |          4 |        465 |         39 |         93 |        597 |
| v2                                                                                                  |         64 |      4,143 |        182 |        605 |      4,930 |
| v2 (Files)                                                                                          |          9 |      1,464 |         57 |        200 |      1,721 |
| v2\about                                                                                            |          2 |         89 |          2 |         17 |        108 |
| v2\awards                                                                                           |          6 |        589 |         39 |         62 |        690 |
| v2\boring-stuff                                                                                     |          3 |         84 |          0 |          2 |         86 |
| v2\boring-stuff\binary-translator                                                                   |          2 |         69 |          0 |          1 |         70 |
| v2\boring-stuff\primeNumbers                                                                        |          1 |         15 |          0 |          1 |         16 |
| v2\clicker-clicker                                                                                  |          1 |         13 |          0 |          0 |         13 |
| v2\e                                                                                                |          7 |        196 |          7 |         41 |        244 |
| v2\e (Files)                                                                                        |          2 |         70 |          4 |         12 |         86 |
| v2\e\code-like-me                                                                                   |          1 |         34 |          2 |          7 |         43 |
| v2\e\rainbowAnimation                                                                               |          3 |         79 |          1 |         22 |        102 |
| v2\e\sortingAlgorithms                                                                              |          1 |         13 |          0 |          0 |         13 |
| v2\files                                                                                            |          1 |         38 |          0 |          8 |         46 |
| v2\files\resume                                                                                     |          1 |         38 |          0 |          8 |         46 |
| v2\g                                                                                                |         22 |        983 |         31 |        157 |      1,171 |
| v2\g (Files)                                                                                        |          2 |         87 |          3 |         29 |        119 |
| v2\g\Asteroids                                                                                      |          1 |         25 |          0 |          0 |         25 |
| v2\g\falling_ball                                                                                   |          3 |        143 |          0 |          5 |        148 |
| v2\g\notAGame                                                                                       |          4 |        161 |          2 |         39 |        202 |
| v2\g\scratch                                                                                        |          3 |         28 |          0 |          3 |         31 |
| v2\g\scratch (Files)                                                                                |          1 |          3 |          0 |          1 |          4 |
| v2\g\scratch\biplane                                                                                |          1 |         12 |          0 |          1 |         13 |
| v2\g\scratch\not_mine                                                                               |          1 |         13 |          0 |          1 |         14 |
| v2\g\scratch\not_mine\getting_over_it                                                               |          1 |         13 |          0 |          1 |         14 |
| v2\g\susamogus_impostor_vs_toxic_sludge                                                             |          3 |        104 |          9 |          9 |        122 |
| v2\g\the-button                                                                                     |          3 |        358 |         14 |         66 |        438 |
| v2\g\verybad_dino                                                                                   |          3 |         77 |          3 |          6 |         86 |
| v2\news                                                                                             |          4 |        107 |          0 |         12 |        119 |
| v2\news (Files)                                                                                     |          1 |         26 |          0 |          3 |         29 |
| v2\news\02-15-2023                                                                                  |          1 |         28 |          0 |          3 |         31 |
| v2\news\03-12-2023                                                                                  |          1 |         28 |          0 |          3 |         31 |
| v2\news\04-19-2023                                                                                  |          1 |         25 |          0 |          3 |         28 |
| v2\scripts                                                                                          |          3 |         78 |          6 |         34 |        118 |
| v2\secret                                                                                           |          3 |        420 |         38 |         58 |        516 |
| v2\stalkMe                                                                                          |          3 |         82 |          2 |         14 |         98 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\assets\filters\chromatic-aberration.html           | HTML       |         40 |          0 |          3 |         43 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\cool-stuff\index.html                              | HTML       |         13 |          0 |          5 |         18 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\cool-stuff\style.css                               | CSS        |         22 |          0 |          3 |         25 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\index.html                                         | HTML       |        285 |         21 |         59 |        365 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\autonav.js                                 | JavaScript |         57 |          5 |         20 |         82 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\games-track.js                             | JavaScript |         33 |         13 |         15 |         61 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\splash-text.js                             | JavaScript |        178 |          2 |         21 |        201 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\scripts\text-effects.js                            | JavaScript |        197 |         19 |         37 |        253 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\style.css                                          | CSS        |        471 |         29 |         65 |        565 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\about\index.html                                | HTML       |         65 |          2 |         16 |         83 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\about\index0.html                               | HTML       |         24 |          0 |          1 |         25 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\animatedJumbotron.js                            | JavaScript |          8 |          1 |          2 |         11 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\awards.css                               | CSS        |        109 |         14 |          4 |        127 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\awards.js                                | JavaScript |          6 |          0 |          5 |         11 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\index.html                               | HTML       |        115 |          3 |         20 |        138 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\index0.html                              | HTML       |         52 |          0 |          8 |         60 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\new-awards.css                           | CSS        |        301 |         22 |         20 |        343 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\awards\script.js                                | JavaScript |          6 |          0 |          5 |         11 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\binary-translator\index.html       | HTML       |         25 |          0 |          0 |         25 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\binary-translator\style.css        | CSS        |         44 |          0 |          1 |         45 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\boring-stuff\primeNumbers\index.html            | HTML       |         15 |          0 |          1 |         16 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\clicker-clicker\index.html                      | HTML       |         13 |          0 |          0 |         13 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\code-like-me\index.html                       | HTML       |         34 |          2 |          7 |         43 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\index.html                                    | HTML       |         50 |          3 |         12 |         65 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\old.html                                      | HTML       |         20 |          1 |          0 |         21 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\index.html                   | HTML       |         14 |          0 |          4 |         18 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\main.js                      | JavaScript |         60 |          1 |         18 |         79 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\rainbowAnimation\style.css                    | CSS        |          5 |          0 |          0 |          5 |
